"","Site","SOC","SAND","CLAY","ANPP_MAP_E","MAT","MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","pGPP","rcew_DEM_3","pred_MAP","fW","MIMSOC","MIMMIC","residual","LITm","LITs","MICr","MICK","SOMp","SOMc","SOMa","MICsum","MICrat","SOMTOT","LITTOT"
"1","S1",2.233333333,27.63833333,15.70833333,1313.022324,4.7,972.42,16.6,1.37,36.496,0,0,0,43.06447579,-116.7485631,"Reynolds Mountain East",2111,"Northwest",6.7,-0.156,"Nicholas_Patton",972.6599731,4.6999998,0.212763,63.4196014,361.0339966,2110.919922,1318.378784,0.975786632,2.025671921466,0.102127538595288,0.207661411534004,"0.587314068266567","2.43212993237819","0.0857527651377036","0.254672363513256","1.2110323903953","1.31215536903999","0.869182849488977",0.34042512865096,0.336717985236902,3.39237060892427,3.01944400064476
"2","S2",0.784375,43.245,11.87875,1105.522526,5,846.83,16.6,1.37,36.496,0,0,0,43.06520205,-116.7593348,"Reynolds Mountain East",2095,"West",2.2,0.14,"Nicholas_Patton",846.7620239,5,0.192658,82.3013,283.9159851,2094.889893,1011.966065,0.843734938,1.81878355065615,0.0959472946761215,-1.03440855065615,"0.545322111375234","2.26908793089777","0.0806424200040116","0.23918189558306","0.976024822605614","1.22401080927441","0.728341845780393",0.319824315587072,0.337159381597121,2.92837747766042,2.814410042273
"3","S3",4.1436,42.236,10.808,1172.700978,5,887.49,16.6,1.37,36.496,0,0,0,43.066713,-116.7573279,"Reynolds Mountain East",2066,"Northeast",17.8,-0.84,"Nicholas_Patton",886.9890137,5,0.0309677,0,1141.660034,2065.399902,1269.543457,0.954740548,3.09546861207989,0.15065532064239,1.04813138792011,"0.857619093880246","3.57422528855853","0.126842041647355","0.375342360493946","2.34888953525785","1.92477663453105","1.11053375256399",0.502184402141301,0.337936921056372,5.38419992235289,4.43184438243878
"4","S4",1.176060606,28.49393939,38.31727273,1200.441416,5,904.28,16.6,1.37,36.496,0,0,0,43.0673872,-116.7553338,"Reynolds Mountain East",2052,"Northwest",5.6,-0.86,"Nicholas_Patton",901.3909912,5,1.6232001,74.0447006,1469.060059,2052.229981,976.6099243,0.828497847,4.61350592996358,0.16710416830522,-3.43744532396358,"0.951489925130698","3.94533857825598","0.1402442872822","0.416769607068532","5.60370682406132","2.1259622213885","2.19484165669136",0.557013894350732,0.336503154029509,9.92451070214118,4.89682850338668
"5","S5",2.23,48.30666667,11.77166667,1135.245604,5.1,864.82,16.6,1.37,36.496,0,0,0,43.06815056,-116.7584612,"Reynolds Mountain East",2062,"Northeast",10.6,-0.61,"Nicholas_Patton",864.3920288,5.0999999,1.16012,59.4185982,1116.660034,2062.790039,1266.699707,0.953515005,3.08118886737785,0.149352936939716,-0.851188867377854,"0.846926244301215","3.53289931189713","0.125725633146344","0.372117489986044","2.36191677546114","1.90264139725093","1.12840270588337",0.497843123132388,0.337865422963751,5.39296087859544,4.37982555619834
"6","S6",1.816666667,40.20666667,22.06333333,1136.352578,5.1,865.49,16.6,1.37,36.496,0,0,0,43.0685844,-116.7588933,"Reynolds Mountain East",2053,"North",13.2,-1.71,"Nicholas_Patton",865.8010254,5.0999999,10.724,100,1285.869995,2052.570068,1255.736939,0.948790488,3.61047499399985,0.158284854764334,-1.79380832699985,"0.897029276827071","3.6935170125389","0.132704933228495","0.394911249319286","3.3851547543245","1.99431502528994","1.53728439513798",0.527616182547781,0.336037358918593,6.91675417475242,4.59054628936597
"7","S11",2.193333333,37.335,15.65333333,576.091558,6.2,526.39,16.6,1.37,36.496,0,0,0,43.11716535,-116.7257274,"South Upper Sheep Creep",1915.93,"North",10.9075,0.06,"Nicholas_Patton",526.1469727,6.1999998,0.140159,38.6609993,459.0580139,1915.920044,1108.251587,0.885230168,2.12059536774803,0.109462369820542,0.0727379652519748,"0.594659161555016","2.49506105909785","0.0918619300689646","0.273012635999508","1.38878055168766","1.34656525099739","0.878710636420356",0.364874566068473,0.336475012347524,3.61405643910541,3.08972022065287
"8","S12",1.558333333,45.99166667,6.333333333,477.9674,6.5,467,16.6,1.37,36.496,0,0,0,43.11980227,-116.722923,"Upper Sheep Creek",1904.67,"North",12.5867,-2.05,"Nicholas_Patton",465.7460022,6.5,0.0181185,0,316.95401,1904.729981,1095.721802,0.879830329,1.73736095412312,0.098622793415096,-0.179027621123117,"0.529574025881723","2.23569961974934","0.082894396356574","0.245848248360413","0.903533221894956","1.20614799707492","0.58750567109247",0.328742644716987,0.337177087530235,2.69718689006235,2.76527364563106
"9","S13",1.045,39.33833333,18.28666667,898.766218,6.3,721.69,16.6,1.37,36.496,0,0,0,43.12035214,-116.8005433,"Johnston Draw",1868.44,"Northeast",4.8,0.18,"Nicholas_Patton",720.809021,6.3000002,0.0321222,0.130183,408.2449951,1868.469971,1056.597534,0.862969325,2.05342048489634,0.105904193927519,-1.00842048489634,"0.572033627775604","2.35911426031119","0.0885335242113336","0.264480455547062","1.38037719463298","1.27866645380699","0.901529433369298",0.353013979758396,0.334745053384785,3.56057308180927,2.93114788808679
"10","S14",3.391875,77.33546875,10.77265625,644.50916,7.1,567.8,16.6,1.37,36.496,0,0,0,43.12158715,-116.787974,"Johnston Draw",1706.39,"North",15,1.19,"Nicholas_Patton",566.7940063,7.0999999,0.148066,19.3279991,662.1300049,1706.27002,862.7698975,0.779437324,2.30589043089596,0.123160614553496,1.08598456910404,"0.646788142637219","2.74596817448561","0.103516621738831","0.307018760106154","1.56627569178147","1.4807737906763","0.835960254894287",0.410535381844985,0.337167089408606,3.88300973735206,3.39275631712283
