"Site","SOC","SAND","CLAY","ANPP_MAP_EST","MAT","MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLASS","SLOPE","CURVATURE","GOOGLE_DIR"
"S1",2.23333333333333,27.6383333333333,15.7083333333333,1313.022324,4.7,972.42,16.6,1.37,36.496,0,0,0,43.06447579,-116.7485631,"Reynolds Mountain East","2111","Northwest","6.7","-0.156","Nicholas_Patton"
"S2",0.784375,43.245,11.87875,1105.522526,5,846.83,16.6,1.37,36.496,0,0,0,43.06520205,-116.7593348,"Reynolds Mountain East","2095","West","2.2","0.14","Nicholas_Patton"
"S3",4.1436,42.236,10.808,1172.700978,5,887.49,16.6,1.37,36.496,0,0,0,43.066713,-116.7573279,"Reynolds Mountain East","2066","Northeast","17.8","-0.84","Nicholas_Patton"
"S4",1.17606060606061,28.4939393939394,38.3172727272727,1200.441416,5,904.28,16.6,1.37,36.496,0,0,0,43.0673872,-116.7553338,"Reynolds Mountain East","2052","Northwest","5.6","-0.86","Nicholas_Patton"
"S5",2.23,48.3066666666667,11.7716666666667,1135.245604,5.1,864.82,16.6,1.37,36.496,0,0,0,43.06815056,-116.7584612,"Reynolds Mountain East","2062","Northeast","10.6","-0.61","Nicholas_Patton"
"S6",1.81666666666667,40.2066666666667,22.0633333333333,1136.352578,5.1,865.49,16.6,1.37,36.496,0,0,0,43.0685844,-116.7588933,"Reynolds Mountain East","2053","North","13.2","-1.71","Nicholas_Patton"
"S7",1.48944444444444,21.8466666666667,12.6,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.06860989,-116.790015,"S19Aa",NA,NA,NA,NA,"Ryan_Will"
"S7",1.48944444444444,21.8466666666667,12.6,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.06860989,-116.790015,"S19Ab",NA,NA,NA,NA,"Ryan_Will"
"S7",1.48944444444444,21.8466666666667,12.6,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.06860989,-116.790015,"S19Ac",NA,NA,NA,NA,"Ryan_Will"
"S8",0.73,16.65,18.98,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.07839329,-116.8259093,"S23Aa",NA,NA,NA,NA,"Ryan_Will"
"S8",0.73,16.65,18.98,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.07839329,-116.8259093,"S23Ab",NA,NA,NA,NA,"Ryan_Will"
"S8",0.73,16.65,18.98,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.07839329,-116.8259093,"S23Ac",NA,NA,NA,NA,"Ryan_Will"
"S9",1.24611111111111,27.3383333333333,22.0816666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,"S6Aa",NA,NA,NA,NA,"Ryan_Will"
"S9",1.24611111111111,27.3383333333333,22.0816666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,"S6Ab",NA,NA,NA,NA,"Ryan_Will"
"S9",1.24611111111111,27.3383333333333,22.0816666666667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,"S6Ac",NA,NA,NA,NA,"Ryan_Will"
"S10",1.07222222222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,"S20Aa",NA,NA,NA,NA,"Ryan_Will"
"S10",1.07222222222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,"S20Ab",NA,NA,NA,NA,"Ryan_Will"
"S10",1.07222222222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,"S20Ac",NA,NA,NA,NA,"Ryan_Will"
"S11",2.19333333333333,37.335,15.6533333333333,576.091558,6.2,526.39,16.6,1.37,36.496,0,0,0,43.11716535,-116.7257274,"South Upper Sheep Creep","1915.93","North","10.9075","0.06","Nicholas_Patton"
"S12",1.55833333333333,45.9916666666667,6.33333333333333,477.9674,6.5,467,16.6,1.37,36.496,0,0,0,43.11980227,-116.722923,"Upper Sheep Creek","1904.67","North","12.5867","-2.05","Nicholas_Patton"
"S13",1.045,39.3383333333333,18.2866666666667,898.766218,6.3,721.69,16.6,1.37,36.496,0,0,0,43.12035214,-116.8005433,"Johnston Draw","1868.44","Northeast","4.8","0.18","Nicholas_Patton"
"S14",3.391875,77.33546875,10.77265625,644.50916,7.1,567.8,16.6,1.37,36.496,0,0,0,43.12158715,-116.787974,"Johnston Draw","1706.39","North","15","1.19","Nicholas_Patton"
"S15",4.79618181818182,62.9225454545454,12.4452727272727,604.972014,7.4,543.87,16.6,1.37,36.496,0,0,0,43.12187239,-116.785596,"Johnston Draw","1658.72","North","16.6","-1.21","Nicholas_Patton"
"S16",2.91666666666667,64.6633333333333,20.2066666666667,571.052348,7.5,523.34,16.6,1.37,36.496,0,0,0,43.12197197,-116.782117,"Johnston Draw","1630.31","Northeast","21.7","-5.33","Nicholas_Patton"
"S17",1.64,71.4333333333333,14.0833333333333,553.092934,7.7,512.47,16.6,1.37,36.496,0,0,0,43.1220937,-116.7801683,"Johnston Draw","1585.13","Northeast","24.6","1.65","Nicholas_Patton"
"S18",5.94666666666667,62.4833333333333,20.9766666666667,557.884314,7.6,515.37,16.6,1.37,36.496,0,0,0,43.12222251,-116.7817345,"Johnston Draw","1615.04","Northeast","25.5","-2.36","Nicholas_Patton"
"S19",8.45666666666667,58.7133333333333,17.3933333333333,557.834748,7.9,515.34,16.6,1.37,36.496,0,0,0,43.12231214,-116.779423,"Johnston Draw","1552.1","Northeast","18.7","-4.25","Nicholas_Patton"
"S20",13.0413888888889,60.9216666666667,20.7561111111111,627.24367,7.6,557.35,16.6,1.37,36.496,0,0,0,43.12258624,-116.7849555,"Johnston Draw","1618.29","North","21.8","-5.6","Nicholas_Patton"
"S21",3.035,37.76,18.4883333333333,827.837272,6.5,678.76,16.6,1.37,36.496,0,0,0,43.12283706,-116.7981045,"Johnston Draw","1819.73","Northeast","16.9","-0.77","Nicholas_Patton"
"S22",3.31090909090909,66.4754545454545,12.3245454545455,605.170278,7.6,543.99,16.6,1.37,36.496,0,0,0,43.12292115,-116.782785,"Johnston Draw","1613.62","North","19.7","0.72","Nicholas_Patton"
"S23",0.976666666666667,13.055,62.945,541.08144,8.1,505.2,16.6,1.37,36.496,0,0,0,43.12298817,-116.776913,"Johnston Draw","1509.35","Southeast","7.9","-0.52","Nicholas_Patton"
"S24",9.03666666666667,53.64,15.8188888888889,724.31042,7,616.1,16.6,1.37,36.496,0,0,0,43.12303246,-116.7927984,"Johnston Draw","1729.91","Northeast","20","-1.91","Nicholas_Patton"
"S25",4.775,71.972,15.234,654.521492,7.6,573.86,16.6,1.37,36.496,0,0,0,43.12303738,-116.7856704,"Johnston Draw","1614.42","North","22.2","0.61","Nicholas_Patton"
"S26",2.0341935483871,72.1896774193548,17.4741935483871,663.542504,7.5,579.32,16.6,1.37,36.496,0,0,0,43.12317978,-116.7878097,"Johnston Draw","1638.27","North","28.5","2.79","Nicholas_Patton"
"S27",8.91333333333333,65.3562222222222,12.678,671.060014,7.6,583.87,16.6,1.37,36.496,0,0,0,43.12349175,-116.7874879,"Johnston Draw","1616.16","Northeast","28.1","-3.35","Nicholas_Patton"
"S28",4.90897435897436,14.5589743589744,55.8215384615385,791.80279,6.6,656.95,16.6,1.37,36.496,0,0,0,43.12363069,-116.7967467,"Johnston Draw","1798.82","Northeast","5.2","0.48","Nicholas_Patton"
"S29",3.15714285714286,77.8171428571429,10.6971428571429,680.69234,7.6,589.7,16.6,1.37,36.496,0,0,0,43.12378073,-116.7876965,"Johnston Draw","1618.14","South","13.7","-2.37","Nicholas_Patton"
"S30",2.342,71.243,12.293,602.642412,7.9,542.46,16.6,1.37,36.496,0,0,0,43.12385697,-116.7800245,"Johnston Draw","1548.39","Southeast","19.8","0.6","Nicholas_Patton"
"S31",2.49,58.73,18.765,616.190452,7.8,550.66,16.6,1.37,36.496,0,0,0,43.12387104,-116.7826147,"Johnston Draw","1570.03","Northeast","17.1","0.8","Nicholas_Patton"
"S32",0.798333333333333,73.5983333333333,13.725,625.723646,7.9,556.43,16.6,1.37,36.496,0,0,0,43.12416094,-116.7826214,"Johnston Draw","1568.05","Southeast","18.9","1.77","Nicholas_Patton"
"S33",2.12666666666667,84.1925,13.4883333333333,723.038226,7.3,615.33,16.6,1.37,36.496,0,0,0,43.12421955,-116.7895852,"Johnston Draw","1666.1","Southeast","22.5","2.14","Nicholas_Patton"
"S34",3.71485294117647,80.0067647058824,13.9813235294118,740.799376,7.2,626.08,16.6,1.37,36.496,0,0,0,43.1242439,-116.7916884,"Johnston Draw","1695.21","Southeast","15.3","-0.56","Nicholas_Patton"
"S35",3.32333333333333,46.9,14.8633333333333,747.77166,6.9,630.3,16.6,1.37,36.496,0,0,0,43.12449119,-116.794308,"Johnston Draw","1737.62","Northeast","15","-2.09","Nicholas_Patton"
"S36",1.155,82.445,10.38,706.351006,7.5,605.23,16.6,1.37,36.496,0,0,0,43.12453364,-116.7860349,"Johnston Draw","1630.11","Southeast","22.2","3.73","Nicholas_Patton"
"S37",1.47018181818182,77.4070909090909,11.4356363636364,630.481982,7.6,559.31,16.6,1.37,36.496,0,0,0,43.12565165,-116.7811645,"Johnston Draw","1608.03","Southeast","9","2.11","Nicholas_Patton"
"S38",0.782,78.1388571428571,10.0408571428571,730.456604,7.3,619.82,16.6,1.37,36.496,0,0,0,43.12568301,-116.78562,"Johnston Draw","1661.93","Southeast","23.2","1.7","Nicholas_Patton"
