"","FID","Site","SOC","SAND","CLAY","ANPP_MAP_E","data_MAT","data_MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","predicted_GPP","rcew_DEM_3","ANPP","MAT","MAP","MIMSOC","MIMIC","SOC_error","ANPPbyMAP"
"1",0,"S1",2.233333333,27.63833333,15.70833333,1313.022324,4.7,972.42,16.6,1.37,36.496,0,0,0,43.06447579,-116.7485631,"Reynolds Mountain East",2111,"Northwest",6.7,-0.156,"Nicholas_Patton",972.6599731,4.6999998,0.212763,63.4196014,361.0339966,2110.919922,330.5169983,4.6999998,972.6599731,4.29109078166527,0.0281590783564841,-2.05775744866527,0.33980734011969
"2",1,"S2",0.784375,43.245,11.87875,1105.522526,5,846.83,16.6,1.37,36.496,0,0,0,43.06520205,-116.7593348,"Reynolds Mountain East",2095,"West",2.2,0.14,"Nicholas_Patton",846.7620239,5,0.192658,82.3013,283.9159851,2094.889893,291.95799255,5,846.7620239,4.20191033202032,0.0248631447212517,-3.41753533202033,0.344793441733848
"3",2,"S3",4.1436,42.236,10.808,1172.700978,5,887.49,16.6,1.37,36.496,0,0,0,43.066713,-116.7573279,"Reynolds Mountain East",2066,"Northeast",17.8,-0.84,"Nicholas_Patton",886.9890137,5,0.0309677,0,1141.660034,2065.399902,720.830017,5,886.9890137,4.77270708611486,0.0611965761583494,-0.62910708611486,0.812670738719884
"4",3,"S4",1.176060606,28.49393939,38.31727273,1200.441416,5,904.28,16.6,1.37,36.496,0,0,0,43.0673872,-116.7553338,"Reynolds Mountain East",2052,"Northwest",5.6,-0.86,"Nicholas_Patton",901.3909912,5,1.6232001,74.0447006,1469.060059,2052.229981,884.5300295,5,901.3909912,4.99567128951294,0.0748939801793969,-3.81961068351294,0.981294508304822
"5",4,"S5",2.23,48.30666667,11.77166667,1135.245604,5.1,864.82,16.6,1.37,36.496,0,0,0,43.06815056,-116.7584612,"Reynolds Mountain East",2062,"Northeast",10.6,-0.61,"Nicholas_Patton",864.3920288,5.0999999,1.16012,59.4185982,1116.660034,2062.790039,708.330017,5.0999999,864.3920288,4.75145919017013,0.0601173740925355,-2.52145919017013,0.819454591666406
"6",5,"S6",1.816666667,40.20666667,22.06333333,1136.352578,5.1,865.49,16.6,1.37,36.496,0,0,0,43.0685844,-116.7588933,"Reynolds Mountain East",2053,"North",13.2,-1.71,"Nicholas_Patton",865.8010254,5.0999999,10.724,100,1285.869995,2052.570068,792.9349975,5.0999999,865.8010254,4.86071640982137,0.0672597332920421,-3.04404974282137,0.915839753289347
"7",18,"S11",2.193333333,37.335,15.65333333,576.091558,6.2,526.39,16.6,1.37,36.496,0,0,0,43.11716535,-116.7257274,"South Upper Sheep Creep",1915.93,"North",10.9075,0.06,"Nicholas_Patton",526.1469727,6.1999998,0.140159,38.6609993,459.0580139,1915.920044,379.52900695,6.1999998,526.1469727,4.18141767005206,0.0322963218308663,-1.98808433705206,0.721336483230895
"8",19,"S12",1.558333333,45.99166667,6.333333333,477.9674,6.5,467,16.6,1.37,36.496,0,0,0,43.11980227,-116.722923,"Upper Sheep Creek",1904.67,"North",12.5867,-2.05,"Nicholas_Patton",465.7460022,6.5,0.0181185,0,316.95401,1904.729981,308.477005,6.5,465.7460022,4.05874796640368,0.0262764040565548,-2.50041463340368,0.662328830613417
"9",20,"S13",1.045,39.33833333,18.28666667,898.766218,6.3,721.69,16.6,1.37,36.496,0,0,0,43.12035214,-116.8005433,"Johnston Draw",1868.44,"Northeast",4.8,0.18,"Nicholas_Patton",720.809021,6.3000002,0.0321222,0.130183,408.2449951,1868.469971,354.12249755,6.3000002,720.809021,4.13951874590921,0.0301641548472543,-3.09451874590921,0.491284774791963
"10",21,"S14",3.391875,77.33546875,10.77265625,644.50916,7.1,567.8,16.6,1.37,36.496,0,0,0,43.12158715,-116.787974,"Johnston Draw",1706.39,"North",15,1.19,"Nicholas_Patton",566.7940063,7.0999999,0.148066,19.3279991,662.1300049,1706.27002,481.06500245,7.0999999,566.7940063,4.22124397472149,0.0409054015535978,-0.829368974721494,0.848747511623078
"11",22,"S15",4.796181818,62.92254545,12.44527273,604.972014,7.4,543.87,16.6,1.37,36.496,0,0,0,43.12187239,-116.785596,"Johnston Draw",1658.72,"North",16.6,-1.21,"Nicholas_Patton",546.2000122,7.3366199,0.113902,31.5130005,733.6820068,1658.670044,516.8410034,7.3366199,546.2000122,4.24478996232888,0.0439441394270005,0.551391855671119,0.946248611965886
"12",23,"S16",2.916666667,64.66333333,20.20666667,571.052348,7.5,523.34,16.6,1.37,36.496,0,0,0,43.12197197,-116.782117,"Johnston Draw",1630.31,"Northeast",21.7,-5.33,"Nicholas_Patton",523.447998,7.4977298,0.170057,45.6408005,1008.169983,1630.73999,654.0849915,7.4977298,523.447998,4.41034635468245,0.0555422060167984,-1.49367968768245,1.24957014641214
