lat,long,loc,soc,soc_est,soc_stock,clay,sand,map,mat,NPP,LIG,N,,,
43.24721,-116.7072,"43.24721,-116.7072,red,circle,""RC1"",",0.1366667,-0.218262579,155,11.633333,78.55333,257.83,8.8,100,16.6,1.37,"""RC1""","red,circle",UpperReynoldsN
43.2053,-116.7506,"43.2053,-116.7506,blue,circle,""RC2"",",0.41,0.419134353,404.6875,11.260625,42.87844,267.74,9,130,16.6,1.37,"""RC2""","blue,circle",Quanset
43.18052,-116.7139,"43.18052,-116.7139,green,circle,""RC3"",",0.644125,0.862201006,578.25,18.4965,53.54113,267.95,8.8,175,16.6,1.37,"""RC3""","green,circle",BlackMtnLower1
43.18078,-116.7146,"43.18078,-116.7146,orange,circle,""RC4"",",0.6638095,1.033814617,645.4762,13.104524,60.0031,265.15,8.9,175,16.6,1.37,"""RC4""","orange,circle",BlackMtnLower2
43.16761,-116.7131,"43.16761,-116.7131,black,circle,""RC5"",",0.85,0.845395298,571.6667,33.693333,24.035,285.87,8.7,175,16.6,1.37,"""RC5""","black,circle",BlackMtnUpper
43.20025,-116.7057,"43.20025,-116.7057,white,circle,""RC6"",",0.8533333,1.06521788,657.7778,42.027778,22.91111,328.53,8.4,250,16.6,1.37,"""RC6""","white,circle",StgRd
43.14394,-116.7368,"43.14394,-116.7368,yellow,circle,""RC7"",",1.1861765,0.885438695,587.3529,38.653529,24.25294,360.79,8.2,300,16.6,1.37,"""RC7""","yellow,circle",upperSheep3
43.14396,-116.7353,"43.14396,-116.7353,purple,circle,""RC8"",",1.3248387,0.856786562,576.129,26.386452,26.79516,353.83,8.2,375,16.6,1.37,"""RC8""","purple,circle",upperSheep1
43.1446,-116.7356,"43.1446,-116.7356,pink,circle,""RC9"",",1.4366667,1.755886197,928.3333,25.87,24.19333,352.97,8.2,450,16.6,1.37,"""RC9""","pink,circle",upperSheep2
43.1198,-116.7229,"43.1198,-116.7229,",NA,3.364136778,1558.3333,6.333333,45.99167,467,6.5,477.9674,16.6,1.37,,,
43.18866,-116.8131,"43.18866,-116.8131,",NA,3.270535062,1521.6667,7.375,70.25,550.75,7.2,616.33915,16.6,1.37,,,
43.19347,-116.8107,"43.19347,-116.8107,",NA,0.694873255,512.7027,9.932162,85.02135,556.95,7.5,626.58279,16.6,1.37,,,
43.12568,-116.7856,"43.12568,-116.7856,",NA,1.382329666,782,10.040857,78.13886,619.82,7.3,730.456604,16.6,1.37,,,
43.12453,-116.786,"43.12453,-116.786,",NA,2.334516121,1155,10.38,82.445,605.23,7.5,706.351006,16.6,1.37,,,
43.12749,-116.7897,"43.12749,-116.7897,",NA,2.321752227,1150,10.49,76.25167,667.2,6.9,808.73784,16.6,1.37,,,
43.12634,-116.7881,"43.12634,-116.7881,",NA,2.256772522,1124.5455,10.565455,79.06091,641.3,7.1,765.94586,16.6,1.37,,,
43.12378,-116.7877,"43.12378,-116.7877,",NA,7.44554387,3157.1429,10.697143,77.81714,589.7,7.6,680.69234,16.6,1.37,,,
43.12159,-116.788,"43.12159,-116.788,",NA,8.044762974,3391.875,10.772656,77.33547,567.8,7.1,644.50916,16.6,1.37,,,
43.06671,-116.7573,"43.06671,-116.7573,",NA,9.963750542,4143.6,10.808,42.236,887.49,5,1172.700978,16.6,1.37,,,
43.12971,-116.7935,"43.12971,-116.7935,",NA,4.032113956,1820,11.26,69.02,643.6,6.7,769.74592,16.6,1.37,,,
43.12565,-116.7812,"43.12565,-116.7812,",NA,3.139105506,1470.1818,11.435636,77.40709,559.31,7.6,630.481982,16.6,1.37,,,
43.06815,-116.7585,"43.06815,-116.7585,",NA,5.078753223,2230,11.771667,48.30667,864.82,5.1,1135.245604,16.6,1.37,,,
43.0652,-116.7593,"43.0652,-116.7593,",NA,1.388392515,784.375,11.87875,43.245,846.83,5,1105.522526,16.6,1.37,,,
43.19273,-116.8149,"43.19273,-116.8149,",NA,1.202784316,711.6667,12.283333,74.61,574.49,7.1,655.562378,16.6,1.37,,,
43.12386,-116.78,"43.12386,-116.78,",NA,5.364664437,2342,12.293,71.243,542.46,7.9,602.642412,16.6,1.37,,,
43.12292,-116.7828,"43.12292,-116.7828,",NA,7.83807495,3310.9091,12.324545,66.47545,543.99,7.6,605.170278,16.6,1.37,,,
43.13302,-116.7921,"43.13302,-116.7921,",NA,3.938511985,1783.3333,12.331667,62.605,655.72,6.6,789.770584,16.6,1.37,,,
43.12187,-116.7856,"43.12187,-116.7856,",NA,11.62964746,4796.1818,12.445273,62.92255,543.87,7.4,604.972014,16.6,1.37,,,
43.19159,-116.8096,"43.19159,-116.8096,",NA,2.514192428,1225.3846,12.447179,76.96256,515.49,7.5,558.082578,16.6,1.37,,,
43.12349,-116.7875,"43.12349,-116.7875,",NA,22.13982411,8913.3333,12.678,65.35622,583.87,7.6,671.060014,16.6,1.37,,,
43.12422,-116.7896,"43.12422,-116.7896,",NA,4.814966176,2126.6667,13.488333,84.1925,615.33,7.3,723.038226,16.6,1.37,,,
43.12753,-116.7925,"43.12753,-116.7925,",NA,7.886809792,3330,13.516,68.654,639.87,6.9,763.583214,16.6,1.37,,,
43.12416,-116.7826,"43.12416,-116.7826,",NA,1.424024966,798.3333,13.725,73.59833,556.43,7.9,625.723646,16.6,1.37,,,
43.12424,-116.7917,"43.12424,-116.7917,",NA,8.869254078,3714.8529,13.981324,80.00676,626.08,7.2,740.799376,16.6,1.37,,,
43.12209,-116.7802,"43.12209,-116.7802,",NA,3.57261379,1640,14.083333,71.43333,512.47,7.7,553.092934,16.6,1.37,,,
43.19214,-116.808,"43.19214,-116.808,",NA,5.436142241,2370,14.181667,55.58833,509.69,7.7,548.499818,16.6,1.37,,,
43.12667,-116.7868,"43.12667,-116.7868,",NA,1.377224108,780,14.255,75.69333,640.38,7.1,764.425836,16.6,1.37,,,
43.19244,-116.8066,"43.19244,-116.8066,",NA,3.172678375,1483.3333,14.655,66.38,499.21,7.7,531.184762,16.6,1.37,,,
43.12449,-116.7943,"43.12449,-116.7943,",NA,7.869791183,3323.3333,14.863333,46.9,630.3,6.9,747.77166,16.6,1.37,,,
43.12304,-116.7857,"43.12304,-116.7857,",NA,11.57557501,4775,15.234,71.972,573.86,7.6,654.521492,16.6,1.37,,,
43.11717,-116.7257,"43.11717,-116.7257,",NA,4.985151252,2193.3333,15.653333,37.335,526.39,6.2,576.091558,16.6,1.37,,,
43.12303,-116.7928,"43.12303,-116.7928,",NA,22.45466699,9036.6667,15.818889,53.64,616.1,7,724.31042,16.6,1.37,,,
43.12231,-116.7794,"43.12231,-116.7794,",NA,20.97405534,8456.6667,17.393333,58.71333,515.34,7.9,557.834748,16.6,1.37,,,
43.12876,-116.7929,"43.12876,-116.7929,",NA,9.990809997,4154.2,17.443,72.6544,647.04,6.8,775.429488,16.6,1.37,,,
43.12318,-116.7878,"43.12318,-116.7878,",NA,4.57890256,2034.1935,17.474194,72.18968,579.32,7.5,663.542504,16.6,1.37,,,
43.12611,-116.7891,"43.12611,-116.7891,",NA,3.508794323,1615,17.475,71.725,635.8,7.1,756.85876,16.6,1.37,,,
43.12035,-116.8005,"43.12035,-116.8005,",NA,2.053710464,1045,18.286667,39.33833,721.69,6.3,898.766218,16.6,1.37,,,
43.12284,-116.7981,"43.12284,-116.7981,",NA,7.133740076,3035,18.488333,37.76,678.76,6.5,827.837272,16.6,1.37,,,
43.12387,-116.7826,"43.12387,-116.7826,",NA,5.742475685,2490,18.765,58.73,550.66,7.8,616.190452,16.6,1.37,,,
43.13059,-116.7986,"43.13059,-116.7986,",NA,2.662122635,1283.3333,19.431667,47.45833,629.32,6.7,746.152504,16.6,1.37,,,
43.12197,-116.7821,"43.12197,-116.7821,",NA,6.831661348,2916.6667,20.206667,64.66333,523.34,7.5,571.052348,16.6,1.37,,,
43.13105,-116.7961,"43.13105,-116.7961,",NA,8.498261047,3569.5238,20.72381,59.81143,631.11,6.7,749.109942,16.6,1.37,,,
43.12259,-116.785,"43.12259,-116.785,",NA,32.67783652,13041.3889,20.756111,60.92167,557.35,7.6,627.24367,16.6,1.37,,,
43.12222,-116.7817,"43.12222,-116.7817,",NA,14.56658081,5946.6667,20.976667,62.48333,515.37,7.6,557.884314,16.6,1.37,,,
43.12863,-116.7969,"43.12863,-116.7969,",NA,19.84402522,8014,21.93,44.21,628.61,6.8,744.979442,16.6,1.37,,,
43.06858,-116.7589,"43.06858,-116.7589,",NA,4.023604779,1816.6667,22.063333,40.20667,865.49,5.1,1136.352578,16.6,1.37,,,
43.12849,-116.7966,"43.12849,-116.7966,",NA,5.464454854,2381.0909,22.692545,54.07273,628.02,6.8,744.004644,16.6,1.37,,,
43.06739,-116.7553,"43.06739,-116.7553,",NA,2.388279172,1176.0606,38.317273,28.49394,904.28,5,1200.441416,16.6,1.37,,,
43.12363,-116.7967,"43.12363,-116.7967,",NA,11.91758201,4908.9744,55.821538,14.55897,656.95,6.6,791.80279,16.6,1.37,,,
